u,g,r,i,z,redshift
22.47763,20.36077,18.97253,18.4752,18.17655,0.3097279
20.15356,18.69232,17.89343,17.45435,17.16316,0.177241
21.37215,19.81682,19.24398,18.95224,18.80355,0.1679326
20.94073,19.02792,18.39027,18.03588,17.76744,0.1247911
24.88014,21.86779,20.38342,19.57282,19.1258,0.5045489
24.93332,22.12672,20.334,19.4853,18.94343,0.5129635
19.5279,18.51253,18.19402,18.00822,17.89487,0.1151391
19.84045,18.64976,17.91593,17.59319,17.39812,0.2168064
21.10539,20.12334,19.31244,19.039,18.80502,0.2779833
19.3783,18.37585,18.03316,17.76149,17.68422,0.1064055
19.83584,18.59508,17.89223,17.49475,17.34599,0.1689568
19.58932,18.42594,17.72692,17.41149,17.19702,0.1317391
21.85058,20.61916,19.34192,18.74949,18.40536,0.1988278
21.30893,19.54944,17.93866,17.41466,17.07226,0.3108197
22.34663,23.13277,21.3377,20.03089,19.04391,0.7151524
19.84591,18.11549,17.24569,16.85948,16.54597,0.1137892
23.60325,20.98933,19.20724,18.53548,18.2038,0.3809979
20.57348,18.62903,17.65936,17.20239,16.86647,0.08543771
18.39604,17.1053,16.36662,15.92044,15.617,0.1559238
19.52832,17.86403,17.20444,16.78534,16.48254,0.04672737
22.65935,22.62772,21.42146,20.26316,19.57291,0.7850723
18.62821,16.70994,15.81164,15.37875,15.05974,0.0913142
23.60765,21.88948,20.23509,19.19682,18.65887,0.5631942
19.10501,17.75449,17.05468,16.64026,16.42909,0.09656057
19.69416,18.3257,17.42899,16.9519,16.67939,0.1931248
20.20602,18.53279,17.69012,17.27048,16.96516,0.1230094
20.36949,18.41179,17.37054,16.9136,16.54421,0.1468357
20.18205,18.39741,17.61861,17.26814,17.00217,0.0582104
20.07817,18.01135,16.91744,16.4796,16.08775,0.1264581
19.34912,17.94213,17.11164,16.72755,16.45205,0.1171812
19.75651,18.12738,17.33326,16.84332,16.46029,0.085917
26.73977,22.48788,20.84961,19.92005,19.39207,0.5032186
24.26325,22.2127,20.72601,19.69816,18.98678,0.5809915
24.1882,21.80188,20.3152,19.44876,18.93174,0.517517
26.17621,22.1193,20.6675,19.58381,19.06108,0.5849121
24.75503,22.34077,20.88679,19.80835,19.20739,0.5174491
22.23488,21.73083,20.49806,19.54611,19.03257,0.5680742
25.61102,22.42048,21.29588,19.88425,19.34146,0.7518086
23.58729,21.23271,19.85213,19.0317,18.6957,0.4718548
25.51529,21.68093,20.09218,19.09426,18.71392,0.5265362
19.96855,18.55028,17.74484,17.34717,17.05362,0.1179935
25.32668,23.39253,21.53495,20.26643,19.74004,0.64766
22.94778,22.05627,20.64551,19.69094,19.31694,0.5087911
21.92835,18.89457,17.63681,17.11635,16.74574,0.1686365
24.12979,21.49456,20.24384,19.2233,18.96953,0.6359477
19.40258,18.11941,17.53836,17.17945,17.03458,0.08769291
20.86378,18.93102,17.62833,17.12389,16.81353,0.2312384
19.72112,17.88747,16.99386,16.63282,16.4003,0.1583311
22.24677,19.72519,18.19791,17.66184,17.29466,0.2913949
23.0625,22.03358,20.85728,19.80397,19.46025,0.5659152
22.97001,23.16283,21.01144,19.89622,19.498,0.5624371
18.50367,17.12906,16.3929,15.99446,15.68575,0.1410701
22.49639,21.9082,20.42533,19.57203,19.02596,0.5142913
18.26177,16.83288,16.1951,15.82047,15.60697,0.08832494
19.4165,17.41526,16.50471,16.12005,15.79905,0.08560842
25.58084,22.44547,20.80374,19.63496,19.25006,0.5821388
22.49607,21.8863,20.43027,19.63542,19.28162,0.4519916
25.00206,22.05174,20.48036,19.48701,18.96963,0.4990503
18.31466,17.15684,16.56713,16.18641,15.97502,0.07827859
23.06092,21.9444,20.15075,19.05743,18.56606,0.5214112
24.85664,22.67274,20.85543,19.83513,19.44799,0.5575813
23.5925,23.46612,21.05237,19.95209,19.41811,0.6316231
23.47804,22.5057,20.43694,19.46734,19.0288,0.5492007
19.33595,18.1984,17.44923,17.04704,16.77721,0.1770283
23.43403,23.21579,20.77874,19.64387,19.19193,0.5652493
23.0745,22.02315,20.99006,20.14342,19.73256,0.5903795
24.75716,22.53594,20.39214,19.42468,18.94178,0.5298486
23.41431,20.1422,18.47362,17.91461,17.52811,0.3058158
22.25134,20.00756,18.4292,17.84053,17.44413,0.3301937
23.28278,20.90248,19.12009,18.46211,18.15065,0.3668526
19.77736,17.80155,16.73949,16.2899,15.95663,0.1462892
25.53038,22.8675,21.09124,19.89747,19.64458,0.538368
19.29446,17.56305,16.68313,16.23611,15.86227,0.07254945
19.95839,18.49768,17.57652,17.07337,16.70323,0.1127413
18.67729,17.42723,16.86182,16.50819,16.27665,0.07885005
19.72225,18.25577,17.60432,17.3131,17.11084,0.1290045
17.68573,15.78307,14.94844,14.57276,14.25606,0.04854403
20.63226,18.57521,17.3922,16.9259,16.59327,0.1527215
24.49541,22.09196,20.52354,19.64634,19.23213,0.5073416
24.08532,21.67074,20.06575,19.28235,18.98862,0.3577448
21.81282,21.76514,20.6212,19.78277,19.52964,0.4915101
23.6587,20.4653,18.76819,18.16467,17.76445,0.3573661
23.59417,22.81577,21.00454,19.90905,19.45041,0.5636462
